"Product ID","Product Name","Current Price","Original Price","Discount","Stock Status","Sizes","URL","Event Type","Timestamp","Image","Category","Variants"
"111754054","John Lewis Layered Trees Metallic Cocktail Coupe Glass, 280ml, Silver","3.50","14.00","75.00","In Stock","One Size","https://www.johnlewis.com/john-lewis-layered-trees-metallic-cocktail-coupe-glass-280ml-silver/p111754054","New","2025-09-14 17:45:10","https://media.johnlewiscontent.com/i/JohnLewis/111715321alt2","John Lewis Branded","None"
"112639736","John Lewis Stackable Plastic Picnic Wine Glass, Set of 4, 250ml, Azure","4.00","14.00","71.43","In Stock","One Size","https://www.johnlewis.com/john-lewis-stackable-plastic-picnic-wine-glass-set-of-4-250ml-azure/p112639736","New","2025-09-14 17:45:23","https://media.johnlewiscontent.com/i/JohnLewis/112596083","John Lewis Branded","None"
"113373832","John Lewis Vita Mineral Print Trousers, Green/Multi","28.00","95.00","70.53","In Stock","12, 14, 16","https://www.johnlewis.com/john-lewis-vita-mineral-print-trousers-green-multi/p113373832","New","2025-09-14 17:45:44","https://media.johnlewiscontent.com/i/JohnLewis/009464706","John Lewis Branded","None"
"113600996","John Lewis Editions Side Pleat Tailored Trousers, Buttermilk","44.00","149.00","70.47","In Stock","8, 10, 12, 14, 16","https://www.johnlewis.com/john-lewis-editions-side-pleat-tailored-trousers-buttermilk/p113600996","New","2025-09-14 17:45:47","https://media.johnlewiscontent.com/i/JohnLewis/009399366","John Lewis Branded","None"
"113600995","John Lewis Editions Tie Waist Tailored Jacket, Buttermilk","74.00","249.00","70.28","In Stock","8, 10, 12, 14, 18","https://www.johnlewis.com/john-lewis-editions-tie-waist-tailored-jacket-buttermilk/p113600995","New","2025-09-14 17:45:50","https://media.johnlewiscontent.com/i/JohnLewis/009399361","John Lewis Branded","None"
"111891573","John Lewis Harrie Leather T-Bar Mary Jane Ballerina Pumps","19.50","65.00","70.00","In Stock","3, 4, 5, 6","https://www.johnlewis.com/john-lewis-harrie-leather-t-bar-mary-jane-ballerina-pumps/p111891573","New","2025-09-14 17:45:53","https://media.johnlewiscontent.com/i/JohnLewis/008431682","John Lewis Branded","None"
"113207125","John Lewis Noa Mesh Square Toe Mary Jane Espadrille Sandals, Black","25.50","85.00","70.00","In Stock","3, 4, 5, 6, 7, 8","https://www.johnlewis.com/john-lewis-noa-mesh-square-toe-mary-jane-espadrille-sandals-black/p113207125","New","2025-09-14 17:45:56","https://media.johnlewiscontent.com/i/JohnLewis/009286983","John Lewis Branded","None"
"113157993","John Lewis Jersey Suede Triple Strap Block Heel Sandals","28.50","95.00","70.00","In Stock","5, 6, 7","https://www.johnlewis.com/john-lewis-jersey-suede-triple-strap-block-heel-sandals/p113157993","New","2025-09-14 17:46:02","https://media.johnlewiscontent.com/i/JohnLewis/009307014","John Lewis Branded","None"
"111647647","John Lewis Matt Black Towel Ring","7.50","25.00","70.00","In Stock","One Size","https://www.johnlewis.com/john-lewis-matt-black-towel-ring/p111647647","New","2025-09-14 17:46:05","https://media.johnlewiscontent.com/i/JohnLewis/111546346","John Lewis Branded","None"
"6151582","John Lewis A5 Colour Block Initial Notebook","4.20","14.00","70.00","In Stock","One Size","https://www.johnlewis.com/john-lewis-a5-colour-block-initial-notebook/p6151582","New","2025-09-14 17:46:14","https://media.johnlewiscontent.com/i/JohnLewis/241029201","John Lewis Branded","Bselected, D, E, H, K, N, R, T"
"111556932","John Lewis Modernist Single Towel Rail, Silver","13.50","45.00","70.00","In Stock","One Size","https://www.johnlewis.com/john-lewis-modernist-single-towel-rail-silver/p111556932","New","2025-09-14 17:46:32","https://media.johnlewiscontent.com/i/JohnLewis/111499348","John Lewis Branded","None"
"112711541","John Lewis Resort Collection Inky Leaf Print Linen Blend Trousers, Natural","15.00","50.00","70.00","In Stock","S, M, L, XL","https://www.johnlewis.com/john-lewis-resort-collection-inky-leaf-print-linen-blend-trousers-natural/p112711541","New","2025-09-14 17:46:35","https://media.johnlewiscontent.com/i/JohnLewis/009255852","John Lewis Branded","None"
"113012962","John Lewis Abbie Polka Dot Fascinator, Navy","25.50","85.00","70.00","In Stock","One Size","https://www.johnlewis.com/john-lewis-abbie-polka-dot-fascinator-navy/p113012962","New","2025-09-14 17:46:43","https://media.johnlewiscontent.com/i/JohnLewis/112628524","John Lewis Branded","None"
"110489171","John Lewis Warm & Cosy Brushed Cotton Fitted Sheet","5.40","18.00","70.00","In Stock","Single","https://www.johnlewis.com/john-lewis-warm-cosy-brushed-cotton-fitted-sheet/p110489171","New","2025-09-14 17:46:50","https://media.johnlewiscontent.com/i/JohnLewis/006570703","John Lewis Branded","Latte, Dove Grey, White, Bluestone, MerlotReducedselected"
"112454220","John Lewis Painted Glass Egg Decoration","1.50","5.00","70.00","In Stock","One Size","https://www.johnlewis.com/john-lewis-painted-glass-egg-decoration/p112454220","New","2025-09-14 17:46:52","https://media.johnlewiscontent.com/i/JohnLewis/112373728","John Lewis Branded","None"
"111647650","John Lewis Corner Shower Basket, Matt Black","10.50","35.00","70.00","In Stock","One Size","https://www.johnlewis.com/john-lewis-corner-shower-basket-matt-black/p111647650","New","2025-09-14 17:47:02","https://media.johnlewiscontent.com/i/JohnLewis/111546355","John Lewis Branded","None"
"6323805","John Lewis Modernist Metal Towel Rail, Silver","12.00","40.00","70.00","In Stock","One Size","https://www.johnlewis.com/john-lewis-modernist-metal-towel-rail-silver/p6323805","New","2025-09-14 17:47:11","https://media.johnlewiscontent.com/i/JohnLewis/109302681","John Lewis Branded","None"
"112871432","John Lewis Single Breasted Wool Suit Jacket, Pink","45.00","150.00","70.00","In Stock","10, 12, 14, 16","https://www.johnlewis.com/john-lewis-single-breasted-wool-suit-jacket-pink/p112871432","New","2025-09-14 17:47:17","https://media.johnlewiscontent.com/i/JohnLewis/009048949","John Lewis Branded","None"
"112857605","John Lewis Cotton Modal Blend Towelling Short Sleeve Shirt, Stone","12.00","40.00","70.00","In Stock","S, M, XL","https://www.johnlewis.com/john-lewis-cotton-modal-blend-towelling-short-sleeve-shirt-stone/p112857605","New","2025-09-14 17:47:26","https://media.johnlewiscontent.com/i/JohnLewis/009139264","John Lewis Branded","None"
"113065767","John Lewis Liliana Leather Square Toe Roman Fisherman Sandals","25.50","85.00","70.00","In Stock","5, 8","https://www.johnlewis.com/john-lewis-liliana-leather-square-toe-roman-fisherman-sandals/p113065767","New","2025-09-14 17:47:38","https://media.johnlewiscontent.com/i/JohnLewis/009208694","John Lewis Branded","Chocolateselected, Off White"
